Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2629.72998	2018-05-03	-0.07246376812	-0.1304347826	2628.080078
2663.419922	2018-05-04	-0.01428571429	-0.1285714286	2621.449951
2672.629883	2018-05-07	-0.03492063492	-0.05714285714	2680.340088
2671.919922	2018-05-08	-0.02777777778	-0.1388888889	2670.26001
2697.790039	2018-05-09	-0.04225352113	-0.08450704225	2678.120117
2723.070068	2018-05-10	0.03125	-0.046875	2705.02002
2727.719971	2018-05-11	0.09090909091	-0.1363636364	2722.699951
2730.129883	2018-05-14	-0.09401709402	-0.2991452991	2738.469971
2711.449951	2018-05-15	-0.03409090909	-0.1590909091	2718.590088
2722.459961	2018-05-16	-0.1212121212	-0.09090909091	2712.620117
2720.129883	2018-05-17	-0.01052631579	-0.01052631579	2719.709961
2712.969971	2018-05-18	-0.08510638298	-0.1170212766	2717.350098
2733.01001	2018-05-21	-0.01979251979	-0.1915096915	2735.389893
2724.439941	2018-05-22	-0.09333333333	-0.2133333333	2738.340088
2733.290039	2018-05-23	-0.1304347826	-0.1449275362	2713.97998
2727.76001	2018-05-24	-0.03846153846	-0.1923076923	2730.939941
2721.330078	2018-05-25	-0.05479452055	-0.1232876712	2723.600098
2689.860107	2018-05-29	-0.03323938992	-0.1272832771	2705.110107
2724.01001	2018-05-30	-0.05405405405	-0.1351351351	2702.429932
2705.27002	2018-05-31	-0.1627906977	-0.1627906977	2720.97998
2734.620117	2018-06-01	-0.1834862385	-0.2018348624	2718.699951
2746.870117	2018-06-04	-0.2460038986	-0.1871066555	2741.669922
2748.800049	2018-06-05	-0.06493506494	0	2748.459961
2772.350098	2018-06-06	-0.06666666667	-0.06666666667	2753.25
2770.370117	2018-06-07	-0.07368421053	-0.1157894737	2774.840088
2779.030029	2018-06-08	-0.04	-0.1066666667	2765.840088
2782	2018-06-11	-0.2545229561	-0.1513824885	2780.179932
2786.850098	2018-06-12	0.1157894737	-0.1263157895	2785.600098
2775.629883	2018-06-13	-0.03846153846	0.02564102564	2787.939941
2782.48999	2018-06-14	0.1290322581	-0.09677419355	2783.209961
2779.659912	2018-06-15	-0.05882352941	-0.1764705882	2777.780029
2773.75	2018-06-18	-0.174405749	-0.2531094527	2765.790039
2762.590088	2018-06-19	-0.16	-0.15	2752.01001
2767.320068	2018-06-20	0	-0.0487804878	2769.72998
2749.76001	2018-06-21	0.06329113924	-0.2658227848	2769.280029
2754.879883	2018-06-22	-0.1746031746	-0.06349206349	2760.790039
2717.070068	2018-06-25	-0.005846042121	-0.2111474219	2742.939941
2723.060059	2018-06-26	-0.1186440678	-0.2033898305	2722.120117
2699.629883	2018-06-27	-0.16	-0.4	2728.449951
2716.310059	2018-06-28	-0.1578947368	-0.1315789474	2698.689941
2718.370117	2018-06-29	0.07462686567	0	2727.129883
2726.709961	2018-07-02	0.01333333333	-0.08166666667	2704.949951
2713.219971	2018-07-03	-0.01785714286	-0.125	2733.27002
2736.610107	2018-07-05	-0.06532579787	-0.1369680851	2724.189941
2759.820068	2018-07-06	-0.2727272727	-0.1212121212	2737.679932
2784.169922	2018-07-09	-0.3102034841	-0.209486166	2775.620117
2793.840088	2018-07-10	0.01694915254	0.03389830508	2788.560059
2774.02002	2018-07-11	-0.1891891892	-0.1081081081	2779.820068
2798.290039	2018-07-12	0	-0.01666666667	2783.139893
2801.310059	2018-07-13	-0.02040816327	-0.1020408163	2796.929932
2798.429932	2018-07-16	-0.0303030303	-0.003787878788	2797.360107
2809.550049	2018-07-17	-0.06896551724	-0.04597701149	2789.340088
2815.620117	2018-07-18	0	-0.05494505495	2811.350098
2804.48999	2018-07-19	-0.1485148515	-0.198019802	2809.370117
2801.830078	2018-07-20	-0.08823529412	-0.08823529412	2804.550049
2806.97998	2018-07-23	-0.1455375254	-0.1349729547	2799.169922
2820.399902	2018-07-24	-0.01123595506	-0.07865168539	2820.679932
2846.070068	2018-07-25	0	-0.1818181818	2817.72998
2837.439941	2018-07-26	0.06666666667	-0.04	2835.48999
2818.820068	2018-07-27	0.09302325581	-0.1627906977	2842.350098
2802.600098	2018-07-30	0.01339790153	-0.1717110573	2819
2816.290039	2018-07-31	0.04255319149	-0.07446808511	2809.72998
2813.360107	2018-08-01	0.06382978723	-0.1063829787	2821.169922
2827.219971	2018-08-02	-0.08974358974	0	2800.47998
2840.350098	2018-08-03	0.1578947368	-0.02631578947	2829.620117
2850.399902	2018-08-06	0.03802469136	-0.08545808967	2840.290039
2858.449951	2018-08-07	0.08474576271	0	2855.919922
2857.699951	2018-08-08	-0.1267605634	-0.04225352113	2856.790039
2853.580078	2018-08-09	-0.01818181818	-0.1818181818	2857.189941
2833.280029	2018-08-10	-0.25	-0.2291666667	2838.899902
2821.929932	2018-08-13	-0.280994152	-0.2351461988	2835.459961
2839.959961	2018-08-14	-0.05769230769	0.1153846154	2827.879883
2818.370117	2018-08-15	-0.1265822785	-0.1392405063	2827.949951
2840.689941	2018-08-16	-0.01923076923	0.07692307692	2831.439941
2850.129883	2018-08-17	-0.02631578947	-0.1315789474	2838.320068
2857.050049	2018-08-20	-0.002415458937	-0.1181561997	2853.929932
2862.959961	2018-08-21	0.1153846154	0.07692307692	2861.51001
2861.820068	2018-08-22	0.1153846154	0.05769230769	2860.98999
2856.97998	2018-08-23	-0.125	-0.28125	2860.290039
2874.689941	2018-08-24	-0.125	-0.08928571429	2862.350098
2896.73999	2018-08-27	0.02787733971	-0.06790123457	2884.689941
2897.52002	2018-08-28	0.05882352941	-0.07843137255	2901.449951
2914.040039	2018-08-29	0	0.05769230769	2900.620117
2901.129883	2018-08-30	-0.08928571429	-0.1964285714	2908.939941
2901.52002	2018-08-31	0.02985074627	-0.1343283582	2898.370117
2896.719971	2018-09-04	0.0108974359	-0.1136072261	2896.959961
2888.600098	2018-09-05	-0.06593406593	-0.04395604396	2891.590088
